x f[0] f[1] f[2] f[3] f[0,1] f[1,2] f[2,3] f[0,1,2] f[1,2,3] f[0,1,2,3]
1.920000 0.000000 0.000000 0.006400 1.166400 0.000000 0.006400 1.160000 0.003200 0.576800 0.191200
1.930000 0.000000 0.000000 0.004900 1.144900 0.000000 0.004900 1.140000 0.002450 0.567550 0.188367
1.940000 0.000000 0.000000 0.003600 1.123600 0.000000 0.003600 1.120000 0.001800 0.558200 0.185467
1.950000 0.000000 0.000000 0.002500 1.102500 0.000000 0.002500 1.100000 0.001250 0.548750 0.182500
1.960000 0.000000 0.000000 0.001600 1.081600 0.000000 0.001600 1.080000 0.000800 0.539200 0.179467
1.970000 0.000000 0.000000 0.000900 1.060900 0.000000 0.000900 1.060000 0.000450 0.529550 0.176367
1.980000 0.000000 0.000000 0.000400 1.040400 0.000000 0.000400 1.040000 0.000200 0.519800 0.173200
1.990000 0.000000 0.000000 0.000100 1.020100 0.000000 0.000100 1.020000 0.000050 0.509950 0.169967
2.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 0.500000 0.166667
2.010000 0.000000 0.000000 0.000000 0.980100 0.000000 0.000000 0.980100 0.000000 0.490050 0.163350
2.020000 0.000000 0.000000 0.000000 0.960400 0.000000 0.000000 0.960400 0.000000 0.480200 0.160067
2.030000 0.000000 0.000000 0.000000 0.940900 0.000000 0.000000 0.940900 0.000000 0.470450 0.156817
2.040000 0.000000 0.000000 0.000000 0.921600 0.000000 0.000000 0.921600 0.000000 0.460800 0.153600
2.050000 0.000000 0.000000 0.000000 0.902500 0.000000 0.000000 0.902500 0.000000 0.451250 0.150417
2.060000 0.000000 0.000000 0.000000 0.883600 0.000000 0.000000 0.883600 0.000000 0.441800 0.147267
2.070000 0.000000 0.000000 0.000000 0.864900 0.000000 0.000000 0.864900 0.000000 0.432450 0.144150
2.080000 0.000000 0.000000 0.000000 0.846400 0.000000 0.000000 0.846400 0.000000 0.423200 0.141067
2.090000 0.000000 0.000000 0.000000 0.828100 0.000000 0.000000 0.828100 0.000000 0.414050 0.138017
2.100000 0.000000 0.000000 0.000000 0.810000 0.000000 0.000000 0.810000 0.000000 0.405000 0.135000
2.110000 0.000000 0.000000 0.000000 0.792100 0.000000 0.000000 0.792100 0.000000 0.396050 0.132017
2.120000 0.000000 0.000000 0.000000 0.774400 0.000000 0.000000 0.774400 0.000000 0.387200 0.129067
2.130000 0.000000 0.000000 0.000000 0.756900 0.000000 0.000000 0.756900 0.000000 0.378450 0.126150
2.140000 0.000000 0.000000 0.000000 0.739600 0.000000 0.000000 0.739600 0.000000 0.369800 0.123267
2.150000 0.000000 0.000000 0.000000 0.722500 0.000000 0.000000 0.722500 0.000000 0.361250 0.120417
2.160000 0.000000 0.000000 0.000000 0.705600 0.000000 0.000000 0.705600 0.000000 0.352800 0.117600
2.170000 0.000000 0.000000 0.000000 0.688900 0.000000 0.000000 0.688900 0.000000 0.344450 0.114817
2.180000 0.000000 0.000000 0.000000 0.672400 0.000000 0.000000 0.672400 0.000000 0.336200 0.112067
2.190000 0.000000 0.000000 0.000000 0.656100 0.000000 0.000000 0.656100 0.000000 0.328050 0.109350
2.200000 0.000000 0.000000 0.000000 0.640000 0.000000 0.000000 0.640000 0.000000 0.320000 0.106667
2.210000 0.000000 0.000000 0.000000 0.624100 0.000000 0.000000 0.624100 0.000000 0.312050 0.104017
2.220000 0.000000 0.000000 0.000000 0.608400 0.000000 0.000000 0.608400 0.000000 0.304200 0.101400
